Model,Accuracy,Runtime CPU (ms),Latency (ms),Model Size (KB),Memory RAM (KB),Parameters
Random_Forest,0.7876,0.0666,13.7974,14796.05,120.88,171786
SVM,0.8026,29.5811,13.3245,53034.71,53036.93,5293
